club,gp,w,l,d,pts,gf,ga,gd,conf
Nashville SC,14,10,1,3,33,31,11,20,East
Inter Miami,15,9,2,4,31,39,28,11,East
Chicago Fire,14,8,4,2,26,27,16,11,East
New England Revolution,14,8,5,1,25,22,18,4,East
New York Red Bulls,15,6,5,4,22,25,32,-7,East
Charlotte FC,15,6,6,3,21,24,23,1,East
FC Cincinnati,15,5,5,5,20,36,37,-1,East
New York City FC,15,5,6,4,19,25,21,4,East
DC United,15,4,5,6,18,21,25,-4,East
Columbus Crew,15,4,7,4,16,21,23,-2,East
Toronto FC,14,3,6,5,14,22,29,-7,East
CF Montreal,14,4,8,2,14,22,31,-9,East
Orlando City SC,15,4,9,2,14,23,44,-21,East
Atlanta United,14,3,9,2,11,14,23,-9,East
Philadelphia Union,15,1,10,4,7,18,30,-12,East
Vancouver Whitecaps,14,10,2,2,32,34,12,22,West
San Jose Earthquakes,15,10,3,2,32,34,15,19,West
Real Salt Lake,14,8,4,2,26,26,19,7,West
FC Dallas,15,7,4,4,25,30,22,8,West
LAFC,15,7,5,3,24,24,17,7,West
Seattle Sounders FC,13,7,3,3,24,17,11,6,West
Houston Dynamo,14,7,6,1,22,19,23,-4,West
Minnesota United,15,6,5,4,22,18,22,-4,West
LA Galaxy,15,5,5,5,20,22,22,0,West
San Diego FC,15,4,6,5,17,30,27,3,West
Colorado Rapids,15,5,9,1,16,25,24,1,West
St. Louis City SC,14,4,6,4,16,16,20,-4,West
Portland Timbers,14,4,8,2,14,22,28,-6,West
Austin FC,15,3,7,5,14,19,31,-12,West
Sporting Kansas City,14,3,9,2,11,14,36,-22,West
